date,비거주 복지시설 운영업,영상 및 음향기기 제조업,음식점업,담배 제조업,수도사업,"도축, 육류 가공 및 저장 처리업",수산물 가공 및 저장 처리업,"과실, 채소 가공 및 저장 처리업",동물성 및 식물성 유지 제조업,자가 소비를 위한 가사 생산 활동,낙농제품 및 식용빙과류 제조업,"곡물가공품, 전분 및 전분제품 제조업",기타 식품 제조업,동물용 사료 및 조제식품 제조업,알콜음료 제조업,비알콜음료 및 얼음 제조업,방적 및 가공사 제조업,직물직조 및 직물제품 제조업,편조원단 및 편조제품 제조업,"섬유제품 염색, 정리 및 마무리 가공업",기타 섬유제품 제조업,봉제의복 제조업,모피가공 및 모피제품 제조업,편조의복 제조업,의복 액세서리 제조업,"가죽, 가방 및 유사제품 제조업",신발 및 신발부분품 제조업,제재 및 목재 가공업,나무제품 제조업,코르크 및 조물 제품 제조업,"펄프, 종이 및 판지 제조업","골판지, 종이 상자 및 종이 용기 제조업",기타 종이 및 판지 제품 제조업,인쇄 및 인쇄관련 산업,기록매체 복제업,코크스 및 연탄 제조업,석유 정제품 제조업,기초화학물질 제조업,비료 및 질소화합물 제조업,합성고무 및 플라스틱 물질 제조업,기타 화학제품 제조업,화학섬유 제조업,기초 의약물질 및 생물학적 제제 제조업,의약품 제조업,의료용품 및 기타 의약관련제품 제조업,고무제품 제조업,플라스틱제품 제조업,유리 및 유리제품 제조업,도자기 및 기타 요업제품 제조업,"시멘트, 석회, 플라스터 및 그 제품 제조업",기타 비금속 광물제품 제조업,1차 철강 제조업,1차 비철금속 제조업,금속 주조업,"구조용 금속제품, 탱크 및 증기발생기 제조업",무기 및 총포탄 제조업,기타 금속가공제품 제조업,반도체 제조업,전자부품 제조업,컴퓨터 및 주변장치 제조업,통신 및 방송 장비 제조업,마그네틱 및 광학 매체 제조업,의료용 기기 제조업,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","안경, 사진장비 및 기타 광학기기 제조업",시계 및 시계부품 제조업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",일차전지 및 축전지 제조업,절연선 및 케이블 제조업,전구 및 조명장치 제조업,가정용 기기 제조업,기타 전기장비 제조업,일반 목적용 기계 제조업,특수 목적용 기계 제조업,자동차용 엔진 및 자동차 제조업,자동차 차체 및 트레일러 제조업,자동차 부품 제조업,선박 및 보트 건조업,철도장비 제조업,"항공기,우주선 및 부품 제조업",그외 기타 운송장비 제조업,가구 제조업,귀금속 및 장신용품 제조업,악기 제조업,운동 및 경기용구 제조업,"인형,장난감 및 오락용품 제조업",그외 기타 제품 제조업,전기업,가스 제조 및 배관공급업,"증기,냉온수 및 공기조절 공급업","하수, 폐수 및 분뇨 처리업",폐기물 수집운반업,폐기물 처리업,금속 및 비금속 원료 재생업,환경 정화 및 복원업,건물 건설업,토목 건설업,기반조성 및 시설물 축조관련 전문공사업,건물설비 설치 공사업,전기 및 통신 공사업,실내건축 및 건축마무리 공사업,건설장비 운영업,자동차 판매업,자동차 부품 및 내장품 판매업,모터사이클 및 부품 판매업,상품 중개업,산업용 농축산물 및 산동물 도매업,음·식료품 및 담배 도매업,가정용품 도매업,기계장비 및 관련 물품 도매업,"건축자재, 철물 및 난방장치 도매업",기타 전문 도매업,상품 종합 도매업,종합 소매업,음·식료품 및 담배 소매업,정보통신장비 소매업,"섬유, 의복, 신발 및 가죽제품 소매업",기타 가정용품 소매업,"문화, 오락 및 여가 용품 소매업",연료 소매업,기타 상품 전문 소매업,무점포 소매업,철도운송업,육상 여객 운송업,도로 화물 운송업,소화물 전문 운송업,파이프라인 운송업,해상 운송업,내륙 수상 및 항만내 운송업,정기 항공 운송업,부정기 항공 운송업,보관 및 창고업,기타 운송관련 서비스업,숙박시설 운영업,기타 숙박업,주점 및 비알콜음료점업,"서적, 잡지 및 기타 인쇄물 출판업",소프트웨어 개발 및 공급업,"영화, 비디오물, 방송프로그램 제작 및 배급업",오디오물 출판 및 원판 녹음업,라디오 방송업,텔레비전 방송업,우편업,전기통신업,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",기타 정보 서비스업,은행 및 저축기관,투자기관,기타 금융업,보험업,재 보험업,연금 및 공제업,금융지원 서비스업,보험 및 연금관련 서비스업,부동산 임대 및 공급업,부동산 관련 서비스업,운송장비 임대업,개인 및 가정용품 임대업,산업용 기계 및 장비 임대업,무형재산권 임대업,자연과학 및 공학 연구개발업,인문 및 사회과학 연구개발업,법무관련 서비스업,회계 및 세무관련 서비스업,광고업,시장조사 및 여론조사업,"회사본부, 지주회사 및 경영컨설팅 서비스업","건축기술, 엔지니어링 및 관련기술 서비스업",기타 과학기술 서비스업,수의업,전문디자인업,사진 촬영 및 처리업,"그외 기타 전문, 과학 및 기술 서비스업",사업시설 유지관리 서비스업,건물·산업설비 청소 및 방제 서비스업,조경 관리 및 유지 서비스업,인력공급 및 고용알선업,여행사 및 기타 여행보조 서비스업,"경비, 경호 및 탐정업",기타 사업지원 서비스업,입법 및 일반 정부 행정,사회 및 산업정책 행정,외무 및 국방 행정,사법 및 공공질서 행정,사회보장 행정,초등 교육기관,중등 교육기관,고등 교육기관,"특수학교, 외국인학교 및 대안학교",일반 교습 학원,기타 교육기관,교육지원 서비스업,병원,의원,공중 보건 의료업,기타 보건업,거주 복지시설 운영업,창작 및 예술관련 서비스업,"도서관, 사적지 및 유사 여가관련 서비스업",스포츠 서비스업,유원지 및 기타 오락관련 서비스업,산업 및 전문가 단체,노동조합,기타 협회 및 단체,기계 및 장비 수리업,자동차 및 모터사이클 수리업,개인 및 가정용품 수리업,"미용, 욕탕 및 유사 서비스업",그외 기타 개인 서비스업,가구내 고용활동,자가 소비를 위한 가사 서비스 활동,국제 및 외국기관
2007-01,21680,33244,19624,0,196,6179,2596,2440,614,,2594,1988,22585,1369,1725,1530,3170,5077,1505,11557,5927,4816,691,452,1482,4278,2351,1435,5276,83,5048,9624,5041,17643,533,76,590,3636,632,9025,21143,1456,3488,12834,1104,5535,37547,5553,2682,6107,3953,5689,6508,3339,16236,164,41810,59972,69419,7120,22047,793,4497,11631,2707,651,22334,1670,4730,8613,6918,6757,38332,43731,23405,1074,37950,117,686,114,348,13541,931,711,1051,736,8829,3684,3503,1193,1777,6978,618,2526,0,8133,1609,624,265,785,298,1117,1018,3130,232,4389,2654,14226,18277,21628,8056,16803,11447,8422,2783,5659,3201,3982,1809,6299,7529,1715,2,49521,4783,1649,380,306,253,,0,5878,19151,2524,565,670,5550,16340,1346,246,46,1349,136,41294,3313,1703,7598,16518,17,1521,155,14,77,411,270,9272,44931,439,233,1342,0,8725,1329,5217,6598,1365,174,3181,36806,8079,162,425,248,1505,4585,16356,502,22535,1591,5357,2881,11947,9451,67,527,62,20534,11974,2390,512,4086,7408,61,31366,34792,189,1154,8689,860,4793,13856,1026,1563,76,6248,3760,13915,4757,2187,9613,249,0,0
2007-02,21961,33137,20101,0,195,6276,2564,2448,606,,2556,2024,22774,1374,1738,1544,3135,5063,1499,11608,5834,4970,695,500,1479,4271,2431,1439,5322,81,5080,9635,5029,17838,537,75,610,3629,634,9115,21215,1450,3605,12939,1133,5631,37797,5556,2675,6171,3998,5921,6512,3365,16448,169,42328,60620,69652,7098,22040,792,4526,11697,2735,648,22278,1606,4866,8614,6965,6683,38833,43946,23512,1084,37921,119,690,114,360,13555,911,713,1083,735,8961,3685,3497,1196,1782,6983,598,2513,0,8226,1575,627,258,779,305,1106,1024,3222,235,4466,2725,14364,18574,21894,8176,17248,11581,8576,2810,5630,3190,4012,1861,6405,7624,1861,1,49675,4759,1716,381,299,250,,0,5898,19223,2456,575,688,5599,16560,1420,239,46,1357,143,41244,3412,1705,7910,16523,17,1544,153,16,76,407,282,9438,45056,438,236,1346,0,8771,1351,5284,6686,1369,160,3564,37361,8130,167,459,259,1544,4748,16812,519,23150,1608,5483,2773,13261,9345,69,525,61,20426,11960,1950,521,4149,7401,68,31849,35290,201,1186,8917,867,4757,13894,1006,1563,74,6441,3795,13683,4575,2183,9709,251,0,0
2007-03,24310,33101,20260,0,195,6199,2584,2424,605,,2492,2056,22735,1348,1729,1552,3062,5132,1470,11572,5795,4952,704,507,1473,4286,2396,1474,5421,80,5127,9635,4964,17795,546,74,613,3610,638,9387,21369,1445,3630,12998,1152,5647,37630,5517,2708,6192,3966,5891,6424,3351,16711,169,42636,60976,69341,7011,22255,787,4609,11607,2698,634,22386,1479,4865,8655,6928,6679,38930,44074,23517,1090,37884,122,692,118,355,13534,910,684,1081,657,8939,3685,3514,1197,1808,6981,567,2527,0,8155,1565,642,273,827,304,1148,1064,3274,226,4469,2772,14584,18798,22098,8284,17358,11552,8320,2830,5706,3147,4008,1876,6477,7686,1935,1,49563,4801,1732,381,254,247,,0,5811,19101,2462,581,667,5680,16954,1479,247,48,1343,254,41103,3375,1721,8070,16635,18,1559,150,16,75,420,278,9464,45271,443,240,1350,0,8782,1399,5295,6724,1412,170,3418,38045,8112,169,474,292,1548,4785,16948,514,23317,1661,6042,2785,12456,9387,74,522,58,20672,13319,1817,543,4243,7292,72,32729,35472,226,1196,8759,873,4755,14267,985,1568,86,6429,3790,13689,4653,2226,9567,234,0,0
2007-04,25398,33083,20694,0,197,6333,2600,2439,610,,2472,2076,22937,1341,1736,1564,3080,5135,1502,11470,5757,4897,703,518,1481,4283,2345,1471,5487,84,5022,9624,4956,17966,546,73,616,3596,662,9443,21574,1425,3637,13158,1172,5678,37485,5491,2732,6171,3963,5898,6468,3361,16814,169,42695,61220,68971,6829,22581,795,4626,11527,2612,638,22420,1393,4873,8709,6915,6785,39198,44255,23503,1091,37958,122,715,164,367,13605,941,690,1086,659,9131,3734,3510,1197,1898,7032,579,2513,0,8376,1593,678,286,832,328,1191,1059,3311,234,4486,2797,14729,19039,22895,8459,17750,11665,8331,2845,5838,3236,4048,1870,6552,7788,1912,1,50270,4947,1761,377,253,246,,0,6119,18913,2437,582,721,5787,17328,1444,269,49,1336,277,40969,3391,1790,8252,16728,16,1589,154,15,75,428,298,9581,45630,454,237,1383,0,8971,1422,5371,6780,1428,135,3474,38575,8207,180,517,305,1465,4836,17763,693,24008,1681,6422,2808,13696,9696,74,517,86,21247,13782,1951,573,4288,7339,73,33392,36120,272,1219,8957,892,5058,14490,1026,1552,90,6600,4039,13760,4688,2305,9789,249,0,0
2007-05,25893,33168,21408,0,200,6376,2730,2428,605,,2477,2076,23013,1357,1729,1573,3019,5201,1455,11428,5719,4979,713,517,1469,4223,2369,1485,5528,85,4938,9515,4921,18156,552,73,618,3812,661,9402,21686,1431,3663,13374,1188,5697,37550,5485,2726,6157,3967,5847,6459,3399,16946,169,42611,60789,68574,6733,22576,795,4960,11590,2558,601,22288,1319,4941,8782,6889,6792,39320,44404,23519,1102,38127,116,720,161,373,13812,953,690,1077,655,9158,3724,3509,1195,1897,7090,610,2532,0,8394,1564,685,293,835,362,1184,1086,3383,245,4505,2808,14919,19354,22806,8600,17889,11473,8327,2869,5950,3281,4085,1899,6646,7935,1962,1,50679,5235,1774,373,260,251,,0,6268,19168,2458,585,720,5787,17546,1507,272,49,1361,282,41052,3292,1794,8554,16789,16,1588,156,16,75,428,310,9663,45910,456,249,1392,0,9046,1448,5421,6789,1449,130,3701,38958,8148,191,518,332,1464,4924,17897,695,24315,1714,6524,2855,14331,10266,71,526,84,21514,14016,2262,589,4425,7423,71,33901,36301,272,1223,9124,902,5121,14708,1072,1570,82,6663,4036,13816,4818,2288,10149,258,0,0
2007-06,27375,33177,21889,0,202,6379,2753,2426,614,,2435,2276,23369,1424,1739,1587,3036,5182,1412,11317,5777,5140,683,536,1505,4199,2335,1489,5568,88,4940,9524,4986,18137,536,73,660,3891,666,9550,22101,1443,3668,13610,1131,5721,37654,5616,2753,6181,4026,5691,6491,3423,17271,170,43096,61069,68727,6548,22527,797,5120,11755,2606,594,22233,1234,4989,8802,6841,6704,40558,44973,23669,1141,37832,76,716,86,375,13813,971,686,1099,693,9353,3716,3521,1195,1952,7159,667,2481,0,8398,1571,682,303,842,335,1203,1101,3296,248,4432,2739,14773,19149,21265,8190,17718,10896,7912,2875,5938,3272,4015,1960,6699,7935,1988,1,50812,5342,1775,371,262,275,,0,6309,19297,2515,586,733,8223,17328,1467,273,49,1474,286,41046,3304,1795,8714,16711,16,1635,161,16,75,445,322,9785,46433,448,240,1312,0,9168,1460,5425,6821,1252,133,3419,39261,8255,191,509,336,1590,4766,18124,732,24981,1738,6579,2695,12758,10464,76,525,77,21069,14053,2315,583,4506,7551,71,34359,36583,277,1219,9346,915,5181,14962,1106,1560,79,6783,4361,13939,4832,2290,10221,256,0,0
2007-07,28302,33265,22496,0,200,6556,2909,2486,600,,2477,2291,23663,1437,1734,1623,3063,5161,1399,11330,5819,5194,674,530,1539,4237,2301,1535,5516,86,4933,9558,4991,18300,537,75,660,3877,709,9688,22237,1265,3684,13581,1098,5719,37958,5587,2780,6261,4040,5713,6459,3394,17509,168,43224,61464,68861,6485,22607,802,5284,12002,2620,576,22185,1226,4974,8935,6932,6740,40942,45113,23688,1157,37952,79,721,90,394,13840,979,694,1245,671,9589,3699,3528,1193,1966,7106,692,2398,0,8417,1560,701,307,838,325,1177,1081,3534,242,4383,2814,14499,19925,20916,8263,17755,10502,7998,2912,6064,3397,4067,2027,6744,8004,1987,1,50951,5446,1801,351,266,277,,0,6244,19183,2508,591,748,8206,17293,1419,273,49,1472,296,40744,3267,1790,8947,16720,16,1657,166,13,75,453,327,9898,46990,461,269,1227,0,9811,1463,5502,6877,1246,138,3431,39229,8329,196,538,345,1646,4780,18050,784,24666,1733,6461,2435,14293,10216,74,532,77,20678,13610,2155,590,4555,7625,76,34533,36921,289,1217,9552,947,5255,15128,1138,1560,79,6799,4385,14348,4857,2379,10198,310,0,0
2007-08,28738,33132,22845,0,200,6724,2978,2524,603,,2462,2330,23654,1458,1706,1638,3077,5149,1403,11232,5838,5237,678,525,1550,4191,2287,1528,5625,86,4897,9441,5097,18393,521,75,664,3888,668,9711,22278,1272,3699,13546,1115,5731,37984,5551,2786,6268,4025,5701,6443,3521,17477,174,43175,61877,68323,6642,22590,798,5331,12158,2599,575,22289,1207,5037,8963,6808,6769,41208,45377,23742,1167,37905,83,727,91,382,13751,1000,689,1254,667,9837,3723,3550,1191,1995,7128,702,2397,0,8475,1576,733,294,859,346,1162,1092,3539,255,4456,2815,14496,20200,20943,8326,17981,10307,8001,2991,6063,3368,4051,2043,6733,8092,2045,0,50933,5535,1813,341,257,270,,0,6619,19523,2570,591,746,8243,17349,1457,274,49,1467,296,40716,3303,1767,8833,16727,16,1676,169,12,77,463,328,9988,47542,471,266,1261,0,9740,1458,5509,6872,1302,153,3597,39193,8394,204,555,359,1698,4926,18365,772,24622,1727,6399,2481,14684,10400,75,536,76,20517,13637,2112,601,4640,7597,82,34794,36990,284,1221,9656,925,5131,15300,1165,1550,79,6691,4307,14449,4842,2419,10420,304,0,0
2007-09,29699,32875,22923,0,199,6718,3032,2495,607,,2434,2331,23640,1477,1712,1627,3054,5121,1377,11301,5742,6749,674,534,1528,4173,2295,1515,5686,87,4885,9440,5119,18495,520,75,671,3923,644,9705,22191,1325,3764,13507,1137,5678,38102,5570,2768,6328,4010,5801,6478,3512,17458,174,43426,62047,68111,6619,22668,798,5356,12222,2637,564,22370,1225,5059,8855,6797,6771,41091,45385,23719,1165,37741,81,723,92,385,13835,1007,688,1254,665,9846,3733,3546,1189,2004,7091,701,2385,0,8445,1590,738,305,843,359,1159,1096,3587,254,4479,2759,14636,20292,21136,8348,18171,10307,7990,2971,6071,3392,4104,2039,6780,8148,2004,0,50905,5588,1783,340,272,320,,0,6675,19706,2642,616,739,8371,17384,1459,272,49,1493,150,40726,3343,1758,8866,16738,17,1670,171,11,77,463,327,9979,47582,464,259,1273,0,9370,1472,5520,6891,1297,197,3659,39603,8528,206,533,372,1722,5027,18290,789,24693,1746,6302,2468,14171,10480,74,534,79,21070,14135,2014,601,4648,7499,79,34838,37194,285,1237,9846,964,5080,15349,1185,1563,78,6707,4298,14616,4731,2427,10511,323,0,0
2007-10,30485,32620,22998,0,208,6684,3011,2497,593,,2357,2326,23713,1452,1710,1624,3026,5087,1338,11317,5724,6697,635,529,1506,4133,2299,1540,5707,95,4897,9393,5102,18685,519,77,692,3930,645,9741,22253,1334,3735,13516,1153,5669,38126,5558,2743,6308,3997,5749,6473,3659,17526,170,43501,62036,67999,6673,22708,793,5340,12298,2678,568,22607,1192,5070,8835,6771,6847,41020,45479,23711,1167,37745,85,733,97,387,13851,996,686,1244,654,9862,3715,3541,1259,1996,7076,709,2458,0,8453,1605,715,302,875,352,1149,1109,3626,258,4385,2796,14827,20170,21098,8290,18398,10226,7969,3007,6095,3420,4103,2028,6826,8370,2093,0,51212,5624,1797,336,276,326,,0,6792,19843,2609,616,739,8350,17627,1632,271,49,1484,148,40425,3425,1769,8989,16766,20,1708,177,11,77,455,335,10037,47961,469,261,1261,0,9490,1552,5567,6997,1299,190,3519,39897,8609,209,549,389,1742,5077,18346,838,24746,1773,6385,2494,14190,10241,75,533,80,21393,14525,2301,629,4641,7487,72,35005,37385,285,1236,9935,951,5100,15355,1181,1571,80,6810,4303,14727,4773,2461,10567,333,0,0
