date,보건업 및 사회복지 서비스업(86~87),제조업(10~34),도매 및 소매업(45~47),숙박 및 음식점업(55~56),"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","전문, 과학 및 기술 서비스업(70~73)",교육 서비스업(85),정보통신업(58~63),건설업(41~42),운수 및 창고업(49~52),"공공 행정, 국방 및 사회보장 행정(84)",부동산업(68),"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","예술, 스포츠 및 여가관련 서비스업(90~91)","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",금융 및 보험업(64~66),"농업, 임업 및 어업(01~03)","전기, 가스, 증기 및 공기 조절 공급업(35)",광업(05~08)
2007-01,"  136,257 ","  1,075,488 ","  207,068 ","  49,929 ","  77,310 ","  79,955 ","  52,077 ","  78,920 ","  112,277 ","  86,360 ","  22,054 ","  57,143 ","  51,281 ","  20,534 ","  19,331 ","  18,983 ","  4,090 ","  12,064 ","  1,401 "
2007-02,"  138,287 ","  1,082,058 ","  210,271 ","  50,888 ","  79,090 ","  81,255 ","  51,576 ","  79,633 ","  113,072 ","  86,702 ","  23,261 ","  57,472 ","  51,127 ","  20,523 ","  19,391 ","  19,019 ","  4,503 ","  12,063 ","  1,384 "
2007-03,"  142,007 ","  1,082,840 ","  211,834 ","  51,334 ","  80,122 ","  81,910 ","  53,017 ","  80,272 ","  113,668 ","  86,340 ","  22,497 ","  57,732 ","  50,918 ","  20,879 ","  19,397 ","  19,152 ","  4,860 ","  12,081 ","  1,353 "
2007-04,"  145,672 ","  1,085,524 ","  215,471 ","  52,124 ","  82,934 ","  82,980 ","  54,429 ","  80,890 ","  115,614 ","  87,311 ","  24,069 ","  58,229 ","  51,731 ","  21,465 ","  19,750 ","  19,304 ","  5,153 ","  12,175 ","  1,358 "
2007-05,"  147,838 ","  1,086,035 ","  217,312 ","  54,131 ","  83,901 ","  83,767 ","  55,631 ","  81,494 ","  116,782 ","  88,716 ","  25,278 ","  58,651 ","  52,585 ","  21,802 ","  19,876 ","  19,379 ","  4,829 ","  12,152 ","  1,373 "
2007-06,"  151,989 ","  1,093,718 ","  212,885 ","  55,508 ","  85,071 ","  84,060 ","  55,552 ","  83,956 ","  117,401 ","  89,251 ","  23,900 ","  59,378 ","  52,915 ","  22,162 ","  19,971 ","  19,380 ","  4,828 ","  12,148 ","  1,397 "
2007-07,"  155,620 ","  1,100,908 ","  213,954 ","  57,119 ","  84,026 ","  85,344 ","  54,779 ","  83,752 ","  117,881 ","  89,420 ","  25,191 ","  60,128 ","  53,400 ","  22,466 ","  19,624 ","  19,423 ","  4,877 ","  12,119 ","  1,548 "
2007-08,"  157,039 ","  1,103,728 ","  215,273 ","  58,518 ","  84,481 ","  85,550 ","  54,774 ","  83,749 ","  118,591 ","  90,340 ","  25,770 ","  60,790 ","  53,804 ","  22,518 ","  19,868 ","  19,465 ","  4,953 ","  12,187 ","  1,550 "
2007-09,"  158,873 ","  1,105,411 ","  216,632 ","  58,990 ","  84,607 ","  85,513 ","  55,670 ","  83,864 ","  118,860 ","  90,685 ","  25,337 ","  60,840 ","  53,872 ","  22,575 ","  19,744 ","  19,473 ","  4,917 ","  12,201 ","  1,471 "
2007-10,"  161,008 ","  1,106,029 ","  217,575 ","  59,339 ","  85,021 ","  86,169 ","  56,746 ","  84,162 ","  119,348 ","  91,375 ","  25,118 ","  61,312 ","  54,243 ","  22,583 ","  19,786 ","  19,552 ","  4,931 ","  12,230 ","  1,454 "
