업종코드,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,41,42,45,46,47,49,50,51,52,55,56,58,59,60,61,62,63,64,65,66,68,70,71,72,73,74,75,76,84,85,86,87,90,91,94,95,96
date,식료품 제조업,음료 제조업,담배 제조업,섬유제품 제조업; 의복 제외,의복 의복 액세서리 및 모피제품 제조업,가죽 가방 및 신발 제조업,목재 및 나무제품 제조업; 가구 제외,펄프 종이 및 종이제품 제조업,인쇄 및 기록매체 복제업,코크스 연탄 및 석유정제품 제조업,화학 물질 및 화학제품 제조업; 의약품 제외,의료용 물질 및 의약품 제조업,고무 및 플라스틱제품 제조업,비금속 광물제품 제조업,1차 금속 제조업,금속 가공제품 제조업; 기계 및 가구 제외,전자 부품 컴퓨터 영상 음향 및 통신장비 제조업,의료 정밀 광학 기기 및 시계 제조업,전기장비 제조업,기타 기계 및 장비 제조업,자동차 및 트레일러 제조업,기타 운송장비 제조업,가구 제조업,기타 제품 제조업,산업용 기계 및 장비 수리업,전기 가스 증기 및 공기 조절 공급업,수도업,하수 폐수 및 분뇨 처리업,폐기물 수집 운반 처리 및 원료 재생업,환경 정화 및 복원업,종합 건설업,전문직별 공사업,자동차 및 부품 판매업,도매 및 상품 중개업,소매업; 자동차 제외,육상 운송 및 파이프라인 운송업,수상 운송업,항공 운송업,창고 및 운송관련 서비스업,숙박업,음식점 및 주점업,출판업,영상ㆍ오디오 기록물 제작 및 배급업,방송업,우편 및 통신업,컴퓨터 프로그래밍 시스템 통합 및 관리업,정보서비스업,금융업,보험 및 연금업,금융 및 보험관련 서비스업,부동산업,연구개발업,전문 서비스업,건축 기술 엔지니어링 및 기타 과학기술 서비스업,기타 전문 과학 및 기술 서비스업,사업시설 관리 및 조경 서비스업,사업 지원 서비스업,임대업; 부동산 제외,공공 행정 국방 및 사회보장 행정,교육 서비스업,보건업,사회복지 서비스업,창작 예술 및 여가관련 서비스업,스포츠 및 오락관련 서비스업,협회 및 단체,개인 및 소비용품 수리업,기타 개인 서비스업
2007-01,53571,3255,0,30917,11027,7022,6794,30500,30477,1542,43805,17426,59781,24285,16424,80053,324088,22003,64193,99859,113247,5416,13534,12743,3526,12064,196,6487,12648,0,106817,5460,9744,143380,53944,57547,559,0,28254,3682,46247,21890,1592,1395,41430,3313,9300,18056,246,681,57143,16179,16534,44885,2357,21443,53089,2778,22054,52077,96124,40133,5653,14881,7887,24734,18660
2007-02,53940,3282,0,30827,11401,7097,6842,30627,30803,1562,43983,17677,60215,24398,16702,81023,325698,22131,64102,100866,113449,5443,13549,12883,3558,12063,195,6589,12607,0,107610,5462,10020,145727,54524,57745,549,0,28408,3647,47241,22158,1659,1403,41387,3412,9614,18085,245,689,57472,16258,17060,45491,2446,22079,54238,2773,23261,51576,97601,40686,5624,14899,8078,24171,18878
2007-03,53641,3281,0,30750,11338,7082,6975,30620,30693,1573,44498,17780,59948,24382,16563,81944,325642,22048,64087,101266,113537,5365,13528,12738,3561,12081,195,6600,12602,0,107997,5671,10196,147327,54311,57731,501,0,28108,3662,47672,22633,1726,1391,41357,3375,9790,18213,241,698,57732,16238,17016,46156,2500,22247,55105,2770,22497,53017,99528,42479,5628,15251,8083,24299,18536
2007-04,54197,3300,0,30632,11269,7029,7042,30361,31007,1569,44855,17967,59798,24431,16599,82130,325629,21812,64126,101986,113780,5617,13598,12984,3806,12175,197,6916,12637,0,109719,5895,10290,150264,54917,58632,499,0,28180,3637,48487,23114,1713,1385,41246,3391,10041,18334,244,726,58229,16530,17185,46781,2484,23292,56820,2822,24069,54429,101545,44127,5950,15515,8242,24594,18895
2007-05,54530,3302,0,30503,11420,7000,7098,30012,31356,1577,45236,18225,59828,24386,16562,82267,324056,22067,63863,102347,114173,5607,13804,13014,3802,12152,200,6912,12764,0,110782,6000,10527,151228,55557,59568,511,0,28637,3655,50476,23332,1779,1410,41334,3292,10347,18394,247,738,58651,16650,17487,47105,2525,23516,57545,2840,25278,55631,102752,45086,6023,15779,8315,24892,19378
2007-06,55211,3326,0,30421,11565,6914,7145,30122,31228,1642,46059,18409,59969,24726,16450,83458,324868,22486,63600,105410,113959,5529,13805,13280,4136,12148,202,6982,12787,0,111418,5983,10299,147505,55081,59926,537,0,28788,3715,51793,25549,1740,1523,41332,3304,10508,18363,252,765,59378,16851,17047,47515,2647,23622,58727,2722,23900,55552,103884,48105,6096,16066,8422,25058,19435
2007-07,56151,3357,0,30448,11583,6915,7137,30213,31498,1652,46320,18363,60598,24839,16415,84017,326352,22903,63793,106356,114628,5706,13832,13653,4179,12119,200,6831,12593,0,111901,5980,11073,146935,55946,60251,543,0,28626,3726,53393,25496,1692,1521,41040,3267,10736,18394,253,776,60128,17863,17191,47554,2736,23614,57791,2621,25191,54779,104551,51069,6202,16264,8438,25521,19441
2007-08,56656,3344,0,30356,11802,6856,7239,30085,31598,1662,46370,18360,60646,24783,16491,84046,326535,23068,64019,107113,114996,5941,13735,13917,4110,12187,200,7045,12623,0,112483,6108,11115,147983,56175,60320,527,0,29493,3822,54696,25588,1731,1516,41012,3303,10599,18421,257,787,60790,17710,17429,47583,2828,24063,57749,2669,25770,54774,105102,51937,6055,16463,8319,25557,19928
2007-09,56631,3339,0,30271,13309,6842,7288,30073,31769,1662,46308,18408,60778,24824,16616,84323,326324,23219,64069,107076,114509,5935,13812,13930,4096,12201,199,6983,12562,0,112715,6145,11243,149030,56359,60307,592,0,29786,3891,55099,25749,1731,1542,40876,3343,10623,18429,258,786,60840,16982,17557,48127,2847,24106,57823,2678,25337,55670,105411,53462,6043,16532,8347,25478,20047
2007-10,56447,3334,0,30189,13137,6766,7342,30006,32017,1673,46448,18404,60738,24735,16726,84510,326193,23352,64406,107078,114720,5970,13831,13904,4103,12230,208,6877,12701,0,113235,6113,11368,149338,56869,60665,602,0,30108,3856,55483,25971,1903,1533,40573,3425,10757,18502,264,786,61312,17206,17561,48502,2900,24261,58091,2669,25118,56746,105927,55081,6050,16533,8460,25657,20126
2007-11,56913,3289,0,30039,13025,6717,7392,30261,32269,1807,46673,18457,61078,25027,16603,84796,327492,23873,64829,108381,115286,6175,13869,14165,4127,12282,209,7048,12855,0,114163,6279,11563,151317,57676,61097,585,0,30332,3801,56680,26553,1855,1468,40227,3506,10869,18561,294,816,65949,16956,17913,49019,2901,24443,58156,2632,25670,56917,106925,56570,6026,16630,8514,25707,20651
2007-12,57139,3289,0,29897,13012,6633,7397,30310,32299,1761,47050,18697,60825,24732,16614,85288,328605,23990,65189,109274,115798,6178,13917,14050,4192,12346,213,6795,13002,0,114126,6306,11718,153068,58012,61401,625,0,30539,4123,56936,26806,1894,1472,40401,6467,8078,18654,264,833,66315,17096,17795,48375,2991,24147,58304,2695,23697,56514,107286,57137,5809,16319,8629,25986,20692
2008-01,57295,3324,0,29658,13129,6654,7400,30388,32326,1692,47243,18877,61088,24050,16673,86266,329946,24329,64770,113814,115811,6269,14039,14192,4192,12290,215,6430,13135,0,114523,6363,11786,153024,58730,61582,542,0,30074,4080,57128,27155,2013,1456,40458,6548,8343,18725,260,858,66449,17200,17676,48667,3036,23329,58006,2709,22601,54378,107665,55449,5990,16233,8605,26174,20349
2008-02,57266,3309,0,29552,13035,6538,7464,30677,32314,1687,47463,19008,61315,24280,16661,86812,329046,24510,65036,114563,115875,6337,14103,14336,4270,12252,215,6540,13083,0,104390,6445,11964,154366,59093,61623,530,0,30105,4072,57562,27460,1994,1455,40240,6572,8489,18864,268,865,66775,17248,18210,48739,3048,23573,58877,2668,24396,54568,108456,58373,5990,16429,8799,26370,21181
2008-03,56748,3333,0,29282,12935,6493,7445,30533,32357,1647,47177,18899,60615,23993,16621,87157,326319,24665,65303,115792,115361,6361,14124,14412,4215,12359,214,6724,12992,0,104872,6630,11886,155768,59181,61815,508,0,30151,4032,57779,27219,1986,1443,40228,6600,8572,19128,271,869,67772,17322,18087,49122,3075,23739,58611,2753,25039,56119,110645,59966,5984,16569,8855,26249,21123
2008-04,56761,3307,0,29277,12909,6462,7437,30752,32393,1652,47784,19014,60335,24117,16472,87264,325952,25051,65222,116372,114999,6342,14135,14514,4233,12143,214,6882,13119,0,105710,6732,11983,158041,59933,62166,524,0,30510,4002,57885,27124,2022,1420,40085,6659,8947,19249,263,875,68203,17329,17955,49553,3125,24343,60494,2821,26004,57977,112874,61460,6263,16637,9045,26254,21961
2008-05,56429,3317,0,29148,12893,6446,7556,30635,32343,1625,47612,19077,60598,24131,16645,87631,320790,25484,65281,117907,115030,6334,14114,14436,4324,12269,213,6867,13308,0,106569,6674,11474,159440,59924,62343,529,0,30516,4039,58583,27335,2025,1444,40098,6781,9486,19316,263,897,68549,17653,18832,49812,3156,24760,62261,2786,26618,59273,114049,63241,6581,16766,9106,26389,22218
2008-06,56581,3305,0,28904,12852,6458,7570,30696,32336,1602,46760,19089,60286,24121,16434,87982,318955,25556,65116,118416,114922,6334,14064,14324,4253,12269,211,6777,13332,0,106848,6744,11732,160681,59823,62399,534,0,30940,4059,57820,27717,2031,1437,40136,6797,9314,19403,258,926,69118,17814,18686,49919,3163,24584,62699,2777,24997,59760,115070,64340,6676,16816,9184,26279,22453
2008-07,56673,3257,0,28599,12796,6408,7557,30902,32424,1593,46659,19147,60290,24121,16302,88524,318237,25566,64817,118795,115354,6376,14087,14278,4270,12236,213,6633,13524,1,106809,6967,11807,161816,60129,62174,538,0,31399,4082,57883,27847,2081,1386,40032,6611,9525,19469,270,951,68745,17932,19221,50591,3270,24999,62741,2797,27131,59230,115535,64831,6787,16820,9151,26293,22501
2008-08,56638,3264,0,28467,13167,6420,7516,30844,32270,1597,46472,19106,60103,24166,16310,88339,313922,25591,64686,118816,115254,6401,13929,14221,4239,12266,213,6621,13688,3,106711,7026,11788,163338,60262,61918,529,0,31592,4068,57739,28052,2081,1361,39496,6664,9711,19476,266,945,68904,18085,19657,50643,3297,25058,64383,2799,27383,58754,115716,66294,6619,16815,9155,26161,22417
2008-09,56849,3281,0,28274,13181,6392,7529,30873,32369,1628,46848,19032,60163,24355,16193,88030,312947,25818,64878,119386,114917,6411,13926,14312,4260,12286,212,6549,13783,3,106970,7107,11806,164199,60765,62041,534,0,31653,4046,57980,27949,2142,1349,39413,6613,9595,19529,272,945,69196,18208,19927,50501,3379,25195,64488,2770,25629,60712,116214,68151,6482,16926,9180,26319,22008
2008-10,56966,3243,0,28294,13133,6352,7572,30772,32379,1698,46563,19358,60632,24579,16141,88354,312404,25827,65474,120004,114581,6405,13856,14322,4245,12211,210,6661,13863,9,106957,7061,12025,165013,61236,62316,544,0,31947,4075,58298,28017,2153,1333,38811,6820,9611,19576,278,972,69815,18315,20194,50475,3434,25353,66351,2772,26896,61453,117205,70837,6635,16911,9221,26506,21807
2008-11,57219,3260,0,28408,13043,6314,7634,30737,32621,1692,46548,19396,61341,24528,16125,88284,310201,26022,65548,120257,113638,6373,14002,14250,4276,12124,206,6620,13880,9,107452,7162,11980,166027,61451,62902,532,0,32203,4136,59383,27794,2106,1282,38824,6822,9736,19651,277,967,69869,18320,19971,50622,3466,25544,67032,2819,27309,61938,117682,71991,6646,16989,9208,26471,21736
2008-12,57420,3259,0,28390,12921,6261,7673,30612,32584,1688,46372,19204,60922,24389,16068,87524,306682,25929,65429,119755,112733,6272,13860,14229,4252,12147,209,6400,13956,4,106502,7006,12061,165493,62077,63087,568,0,32402,4154,59874,27640,2115,1300,38965,6721,9682,19724,280,963,69980,18239,19465,50484,3406,25067,65490,2836,24693,61551,118191,73463,6588,16828,9377,26699,21919
