업종코드,101,102,103,104,105,106,107,108,111,112,120,131,132,133,134,139,141,142,143,144,151,152,161,162,163,171,172,179,181,182,191,192,201,202,203,204,205,211,212,213,221,222,231,232,233,239,241,242,243,251,252,259,261,262,263,264,265,266,271,272,273,274,281,282,283,284,285,289,291,292,301,302,303,304,311,312,313,319,320,331,332,333,334,339,340,351,352,353,360,370,381,382,383,390,411,412,421,422,423,424,425,426,451,452,453,461,462,463,464,465,466,467,468,471,472,473,474,475,476,477,478,479,491,492,493,494,495,501,502,511,512,521,529,551,559,561,562,581,582,591,592,601,602,611,612,620,631,639,641,642,649,651,652,653,661,662,681,682,701,702,711,712,713,714,715,716,721,729,731,732,733,739,741,742,743,751,752,753,759,761,762,763,764,841,842,843,844,845,851,852,853,854,855,856,857,861,862,863,869,871,872,901,902,911,912,941,942,949,951,952,953,961,969
date,도축 육류 가공 및 저장 처리업,수산물 가공 및 저장 처리업,과실 채소 가공 및 저장 처리업,동물성 및 식물성 유지 제조업,낙농제품 및 식용 빙과류 제조업,곡물 가공품 전분 및 전분제품 제조업,기타 식품 제조업,동물용 사료 및 조제식품 제조업,알코올 음료 제조업,비알코올 음료 및 얼음 제조업,담배 제조업,방적 및 가공사 제조업,직물 직조 및 직물제품 제조업,편조 원단 제조업,섬유제품 염색 정리 및 마무리 가공업,기타 섬유제품 제조업,봉제의복 제조업,모피제품 제조업,편조의복 제조업,의복 액세서리 제조업,가죽 가방 및 유사 제품 제조업,신발 및 신발 부분품 제조업,제재 및 목재 가공업,나무제품 제조업,코르크 및 조물 제품 제조업,펄프 종이 및 판지 제조업,골판지 종이 상자 및 종이 용기 제조업,기타 종이 및 판지 제품 제조업,인쇄 및 인쇄관련 산업,기록매체 복제업,코크스 및 연탄 제조업,석유 정제품 제조업,기초 화학물질 제조업,합성고무 및 플라스틱 물질 제조업,비료 농약 및 살균ㆍ살충제 제조업,기타 화학제품 제조업,화학섬유 제조업,기초 의약 물질 및 생물학적 제제 제조업,의약품 제조업,의료용품 및 기타 의약 관련제품 제조업,고무제품 제조업,플라스틱 제품 제조업,유리 및 유리제품 제조업,내화 비내화 요업제품 제조업,시멘트 석회 플라스터 및 그 제품 제조업,기타 비금속 광물제품 제조업,1차 철강 제조업,1차 비철금속 제조업,금속 주조업,구조용 금속제품 탱크 및 증기발생기 제조업,무기 및 총포탄 제조업,기타 금속 가공제품 제조업,반도체 제조업,전자 부품 제조업,컴퓨터 및 주변 장치 제조업,통신 및 방송장비 제조업,영상 및 음향 기기 제조업,마그네틱 및 광학 매체 제조업,의료용 기기 제조업,측정 시험 항해 제어 및 기타 정밀 기기 제조업; 광학 기기 제외,사진장비 및 광학 기기 제조업,시계 및 시계 부품 제조업,전동기 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업,일차전지 및 축전지 제조업,절연선 및 케이블 제조업,전구 및 조명장치 제조업,가정용 기기 제조업,기타 전기장비 제조업,일반 목적용 기계 제조업,특수 목적용 기계 제조업,자동차용 엔진 및 자동차 제조업,자동차 차체 및 트레일러 제조업,자동차 신품 부품 제조업,자동차 재제조 부품 제조업,선박 및 보트 건조업,철도장비 제조업,항공기 우주선 및 부품 제조업,그 외 기타 운송장비 제조업,가구 제조업,귀금속 및 장신용품 제조업,악기 제조업,운동 및 경기용구 제조업,인형 장난감 및 오락용품 제조업,그 외 기타 제품 제조업,산업용 기계 및 장비 수리업,전기업,연료용 가스 제조 및 배관공급업,증기 냉ㆍ온수 및 공기 조절 공급업,수도업,하수 폐수 및 분뇨 처리업,폐기물 수집 운반업,폐기물 처리업,해체 선별 및 원료 재생업,환경 정화 및 복원업,건물 건설업,토목 건설업,기반조성 및 시설물 축조관련 전문공사업,건물설비 설치 공사업,전기 및 통신 공사업,실내건축 및 건축마무리 공사업,시설물 유지관리 공사업,건설장비 운영업,자동차 판매업,자동차 부품 및 내장품 판매업,모터사이클 및 부품 판매업,상품 중개업,산업용 농ㆍ축산물 및 동ㆍ식물 도매업,음ㆍ식료품 및 담배 도매업,생활용품 도매업,기계장비 및 관련 물품 도매업,건축 자재 철물 및 난방장치 도매업,기타 전문 도매업,상품 종합 도매업,종합 소매업,음ㆍ식료품 및 담배 소매업,가전제품 및 정보 통신장비 소매업,섬유 의복 신발 및 가죽제품 소매업,기타 생활용품 소매업,문화 오락 및 여가 용품 소매업,연료 소매업,기타 상품 전문 소매업,무점포 소매업,철도 운송업,육상 여객 운송업,도로 화물 운송업,소화물 전문 운송업,파이프라인 운송업,해상 운송업,내륙 수상 및 항만 내 운송업,항공 여객 운송업,항공 화물 운송업,보관 및 창고업,기타 운송관련 서비스업,일반 및 생활 숙박시설 운영업,기타 숙박업,음식점업,주점 및 비알코올 음료점업,서적 잡지 및 기타 인쇄물 출판업,소프트웨어 개발 및 공급업,영화 비디오물 방송 프로그램 제작 및 배급업,오디오물 출판 및 원판 녹음업,라디오 방송업,텔레비전 방송업,공영 우편업,전기 통신업,컴퓨터 프로그래밍 시스템 통합 및 관리업,자료 처리 호스팅 포털 및 기타 인터넷 정보 매개 서비스업,기타 정보 서비스업,은행 및 저축기관,신탁업 및 집합 투자업,기타 금융업,보험업,재보험업,연금 및 공제업,금융 지원 서비스업,보험 및 연금관련 서비스업,부동산 임대 및 공급업,부동산관련 서비스업,자연과학 및 공학 연구개발업,인문 및 사회과학 연구개발업,법무관련 서비스업,회계 및 세무관련 서비스업,광고업,시장 조사 및 여론 조사업,회사 본부 및 경영 컨설팅 서비스업,기타 전문 서비스업,건축 기술 엔지니어링 및 관련 기술 서비스업,기타 과학기술 서비스업,수의업,전문 디자인업,사진 촬영 및 처리업,그 외 기타 전문 과학 및 기술 서비스업,사업시설 유지ㆍ관리 서비스업,건물ㆍ산업설비 청소 및 방제 서비스업,조경관리 및 유지 서비스업,고용 알선 및 인력 공급업,여행사 및 기타 여행 보조 서비스업,경비 경호 및 탐정업,기타 사업 지원 서비스업,운송장비 임대업,개인 및 가정용품 임대업,산업용 기계 및 장비 임대업,무형 재산권 임대업,입법 및 일반 정부 행정,사회 및 산업정책 행정,외무 및 국방 행정,사법 및 공공 질서 행정,사회보장 행정,초등 교육기관,중등 교육기관,고등 교육기관,특수학교 외국인학교 및 대안학교,일반 교습학원,기타 교육기관,교육 지원 서비스업,병원,의원,공중 보건 의료업,기타 보건업,거주 복지시설 운영업,비거주 복지시설 운영업,창작 및 예술관련 서비스업,도서관 사적지 및 유사 여가관련 서비스업,스포츠 서비스업,유원지 및 기타 오락관련 서비스업,산업 및 전문가 단체,노동조합,기타 협회 및 단체,컴퓨터 및 통신장비 수리업,자동차 및 모터사이클 수리업,개인 및 가정용품 수리업,미용 욕탕 및 유사 서비스업,그 외 기타 개인 서비스업
2007-01,12358,2596,4269,614,2594,5000,23402,2738,1725,1530,0,3170,5536,1016,14779,6416,8079,507,452,1989,4671,2351,1435,5276,83,9246,16213,5041,29944,533,76,1466,3636,9025,2374,27314,1456,3488,12834,1104,6983,52798,8594,3648,6227,5816,6578,6507,3339,20800,164,59089,119944,140940,7120,22047,33244,793,7060,11631,2661,651,35506,1670,4730,8613,6918,6756,52228,47631,23405,1846,50046,37950,125,692,192,4407,13534,931,938,1309,736,8829,3526,7368,3503,1193,196,6487,6978,618,5052,0,13807,1893,1011,279,785,298,1972,1115,1250,8262,232,16890,7465,20577,19084,30634,11225,26058,11447,10009,4361,6287,6228,6002,2719,6299,9600,2439,4,49521,5993,1649,380,306,253,0,0,5878,22376,2596,1086,45343,904,5550,16340,1346,246,46,1349,136,41294,3313,1703,7597,16518,17,1521,155,14,77,411,270,9271,47872,14850,1329,5216,6598,1365,174,3181,0,36806,8079,162,425,265,1505,4585,16356,502,43260,1591,5357,2881,439,233,2106,0,11947,9451,67,527,62,20529,11974,2390,512,1499,15112,61,59989,34792,189,1154,8688,31445,860,4793,13855,1026,1563,76,6248,5998,13915,4821,2316,16344
2007-02,12552,2564,4278,606,2556,5075,23561,2748,1738,1544,0,3135,5521,1024,14838,6309,8396,513,500,1992,4666,2431,1439,5322,81,9320,16278,5029,30266,537,75,1487,3629,9115,2375,27414,1450,3605,12939,1133,7073,53142,8594,3640,6299,5865,6826,6511,3365,21125,169,59729,121240,141391,7098,22040,33137,792,7106,11697,2680,648,35369,1606,4866,8614,6965,6682,52954,47912,23512,1866,50150,37921,126,695,194,4428,13549,911,939,1337,735,8961,3558,7370,3497,1196,195,6589,6983,598,5026,0,13911,1854,1035,270,779,305,1969,1104,1259,8526,235,17215,7568,20797,19410,30949,11378,26829,11581,10105,4379,6261,6210,6044,2777,6405,9682,2661,2,49675,5971,1716,381,299,250,0,0,5898,22510,2542,1105,46312,929,5599,16559,1420,239,46,1357,143,41244,3412,1705,7909,16523,17,1545,153,16,76,407,282,9437,48035,14907,1351,5283,6685,1369,160,3563,0,37361,8130,167,459,276,1544,4748,16812,519,44374,1608,5483,2773,438,236,2099,0,13261,9345,69,525,61,20403,11960,1950,521,1538,15136,68,60924,35290,201,1186,8911,31775,867,4757,13893,1006,1563,74,6441,5851,13683,4637,2302,16576
2007-03,12398,2584,4221,605,2492,5118,23527,2696,1729,1552,0,3062,5597,1016,14826,6249,8316,521,507,1994,4686,2396,1474,5421,80,9406,16250,4964,30147,546,74,1499,3610,9387,2387,27669,1445,3630,12998,1152,7104,52844,8557,3660,6314,5851,6789,6423,3351,21486,169,60289,121952,140536,7011,22255,33101,787,7155,11607,2652,634,35482,1479,4865,8655,6928,6678,53160,48106,23517,1881,50255,37884,133,697,197,4338,13528,910,900,1332,657,8939,3561,7370,3514,1197,195,6600,6981,567,5054,0,13853,1844,1058,288,827,304,2046,1148,1290,8680,226,17256,7675,21288,19639,31255,11545,27117,11552,9759,4396,6294,6146,6019,2749,6477,9696,2775,2,49563,6053,1732,381,254,247,0,0,5811,22297,2544,1118,46762,910,5680,16953,1479,247,48,1343,254,41103,3375,1721,8069,16635,18,1560,150,16,75,420,278,9462,48270,14839,1399,5294,6723,1412,170,3417,0,38044,8112,169,474,309,1548,4785,16948,514,44617,1661,6042,2785,443,240,2087,0,12456,9387,74,522,58,20639,13319,1817,543,1586,15041,72,62634,35472,226,1196,8753,33726,873,4755,14266,985,1568,86,6429,5897,13688,4714,2354,16182
2007-04,12666,2600,4257,610,2472,5128,23782,2682,1736,1564,0,3080,5602,1040,14691,6219,8238,516,518,1997,4684,2345,1471,5487,84,9188,16217,4956,30461,546,73,1496,3596,9443,2448,27943,1425,3637,13158,1172,7166,52632,8577,3696,6297,5861,6771,6467,3361,21633,169,60328,122440,139901,6829,22581,33083,795,7081,11527,2566,638,35452,1393,4873,8709,6915,6784,53639,48347,23503,1888,50431,37958,133,720,246,4518,13598,941,907,1346,659,9131,3806,7468,3510,1197,197,6916,7032,579,5026,0,14311,1866,1109,311,832,328,2124,1191,1293,8763,234,17325,7712,21543,19892,32652,11789,27688,11663,9814,4401,6420,6327,6116,2738,6552,9780,2769,2,50269,6223,1761,377,253,246,0,0,6119,22061,2517,1120,47507,980,5787,17327,1444,269,49,1336,277,40969,3391,1790,8251,16728,16,1590,154,15,75,428,298,9579,48650,15108,1422,5370,6779,1428,135,3473,0,38574,8207,180,517,322,1465,4836,17763,693,45909,1681,6422,2808,454,237,2131,0,13696,9696,74,517,86,21211,13782,1951,573,1621,15218,73,63934,36120,272,1219,8950,35177,892,5058,14489,1026,1552,90,6600,6090,13759,4745,2441,16454
2007-05,12752,2730,4243,605,2477,5123,23886,2714,1729,1573,0,3019,5659,1010,14651,6164,8392,521,517,1990,4631,2369,1485,5528,85,9001,16090,4921,30804,552,73,1504,3812,9402,2443,28148,1431,3663,13374,1188,7192,52636,8575,3677,6279,5855,6705,6458,3399,21832,169,60266,121578,139206,6733,22576,33168,795,7364,11590,2512,601,35141,1319,4941,8782,6889,6791,53764,48583,23519,1909,50618,38127,126,725,242,4514,13804,953,904,1344,655,9158,3802,7448,3509,1195,200,6912,7090,610,5064,0,14338,1848,1112,334,834,362,2174,1184,1331,8951,245,17441,7776,21803,20245,32487,11994,28011,11471,9834,4387,6533,6448,6199,2777,6646,9887,2846,2,50678,6741,1774,373,260,251,0,0,6268,22369,2527,1128,49482,994,5787,17545,1507,272,49,1361,282,41052,3292,1794,8553,16789,16,1589,156,16,75,428,310,9661,48990,15202,1448,5420,6788,1449,130,3700,0,38957,8148,191,518,353,1463,4924,17897,695,46452,1714,6524,2855,456,249,2135,0,14331,10266,71,526,84,21473,14016,2262,589,1722,15498,71,64956,36301,272,1223,9116,35970,902,5121,14707,1072,1570,82,6663,6197,13815,4880,2433,16945
2007-06,12758,2753,4244,614,2435,5320,24239,2848,1739,1587,0,3036,5635,1005,14561,6184,8504,510,536,2015,4579,2335,1489,5568,88,9009,16127,4986,30692,536,73,1569,3891,9550,2416,28759,1443,3668,13610,1131,7209,52760,8756,3713,6303,5954,6537,6490,3423,22053,170,61235,122138,139681,6548,22527,33177,797,7578,11755,2559,594,35031,1234,4989,8802,6841,6703,56021,49389,23669,1977,50482,37831,85,721,168,4555,13805,971,902,1362,693,9352,4136,7432,3521,1195,202,6982,7158,667,4962,0,14356,1848,1105,338,841,335,2161,1203,1349,8702,248,17275,7624,21696,20000,30657,11463,27896,10894,9405,4400,6482,6507,6000,2830,6699,9856,2902,2,50811,6967,1775,371,262,275,0,0,6308,22480,2583,1132,50770,1023,8223,17326,1467,273,49,1474,286,41046,3304,1795,8713,16711,16,1636,161,16,75,445,320,9781,49597,15391,1460,5424,6820,1252,133,3418,0,39260,8255,191,509,358,1589,4766,18124,732,47715,1738,6579,2695,448,240,2034,0,12758,10464,76,525,77,21018,14053,2315,583,1761,15751,71,65805,36583,277,1219,9335,38770,915,5181,14961,1105,1560,79,6783,6232,13936,4890,2425,17010
2007-07,13112,2909,4353,600,2477,5288,24538,2874,1734,1623,0,3063,5619,994,14548,6224,8512,501,530,2040,4614,2301,1535,5516,86,9038,16184,4991,30961,537,75,1577,3877,9688,2461,29029,1265,3684,13581,1098,7219,53379,8715,3748,6389,5987,6563,6458,3394,22395,168,61454,122928,140265,6485,22607,33265,802,7750,12002,2575,576,34987,1226,4974,8935,6932,6739,56754,49602,23688,2003,50987,37950,87,726,175,4718,13832,979,906,1509,671,9588,4179,7398,3528,1193,200,6831,7105,692,4796,0,14447,1826,1139,332,837,325,2170,1177,1323,9508,242,17027,7512,21450,20773,30225,11601,27847,10500,9570,4437,6618,6802,6057,2900,6744,9927,2891,2,50949,7148,1801,351,266,277,0,0,6243,22383,2587,1139,52348,1045,8206,17290,1419,273,49,1472,296,40744,3267,1790,8946,16720,16,1658,165,13,75,453,323,9894,50234,16400,1463,5501,6876,1246,138,3430,0,39225,8329,196,538,357,1645,4780,18050,784,47162,1733,6461,2435,461,269,1891,0,14293,10215,74,532,77,20611,13610,2155,590,1799,15938,76,66124,36921,289,1217,9540,41529,947,5255,15127,1137,1560,79,6799,6255,14341,4925,2527,16914
2007-08,13448,2978,4412,603,2462,5322,24515,2916,1706,1638,0,3077,5609,1008,14429,6233,8713,507,525,2057,4569,2287,1528,5625,86,9011,15977,5097,31077,521,75,1587,3888,9711,2439,29060,1272,3699,13546,1115,7250,53396,8636,3755,6404,5988,6528,6442,3521,22465,174,61407,123754,139619,6642,22590,33132,798,7778,12158,2557,575,35236,1207,5037,8963,6808,6768,57180,49933,23742,2019,51332,37903,89,740,185,4927,13735,1000,900,1514,667,9836,4110,7446,3550,1191,200,7045,7127,702,4794,0,14548,1839,1181,331,858,346,2230,1162,1347,9513,255,17383,7451,21584,21034,30361,11722,28143,10305,9590,4555,6614,6732,6045,2916,6733,10005,2985,0,50931,7235,1813,341,257,270,0,0,6618,22875,2679,1143,53662,1034,8243,17345,1457,274,49,1467,296,40716,3303,1767,8832,16727,16,1678,168,12,77,463,324,9984,50806,16252,1458,5508,6871,1302,153,3595,0,39189,8394,204,555,372,1697,4926,18365,772,47142,1727,6399,2481,471,266,1932,0,14684,10399,75,536,76,20449,13637,2112,601,1907,15986,82,66607,36990,284,1221,9644,42293,925,5130,15299,1164,1550,79,6690,6208,14437,4912,2574,17354
